iter	Accuracy	Logloss
559	0.6669127826	0.5968226434
560	0.6669456676	0.5968111963
561	0.666931574	0.5967916306
562	0.6669863825	0.5967668429
563	0.6670137867	0.5967340447
564	0.6670083058	0.5967036117
565	0.6670521526	0.5966884422
566	0.667139846	0.5966697886
567	0.6671993523	0.5966484359
568	0.6672298884	0.5966220576
569	0.667279999	0.596557287
570	0.6672878288	0.5965377362
571	0.667348901	0.5965031905
572	0.6673449861	0.59648558
573	0.6673935307	0.5964612808
574	0.6674154541	0.5964320644
575	0.6673982286	0.5964084758
576	0.6674146711	0.5963833809
577	0.667417803	0.5963646315
578	0.6674655647	0.5963219994
579	0.6675892751	0.5962441938
580	0.667591624	0.5962257551
581	0.6676096325	0.5961652677
582	0.6676581771	0.5961258836
583	0.6677490025	0.596071806
584	0.6677278621	0.5960301382
585	0.6678727129	0.5959891596
586	0.6679196916	0.59594307
587	0.6679361341	0.5959272674
588	0.6680809849	0.5958362282
589	0.6680598445	0.5958223519
590	0.6680833339	0.5958001812
591	0.6681287465	0.5957815096
592	0.6682070443	0.5957231445
593	0.6682407123	0.5956893556
594	0.6682712484	0.5956701833
595	0.6683244909	0.5955997648
596	0.6684356737	0.5955229648
597	0.6684638609	0.5954659054
598	0.6685030098	0.5954258702
599	0.6685257161	0.5954078852
600	0.6685938351	0.5953767885
601	0.6686306351	0.5953097405
602	0.6686885754	0.5952883153
603	0.6687410349	0.595242808
604	0.6687934944	0.5952050688
605	0.6688255965	0.5951690324
606	0.6688483028	0.5951390265
607	0.6688874517	0.5951069441
608	0.6689258176	0.5950841999
609	0.6689187708	0.5950661887
610	0.6689751452	0.5950226732
611	0.6689649665	0.5949911801
612	0.6689790601	0.5949732874
613	0.6689735792	0.5949526947
614	0.6689610516	0.5949369834
615	0.6690691025	0.5948674326
616	0.6691372215	0.5948363134
617	0.6691708895	0.5948171291
618	0.6692272639	0.5947539303
619	0.6692734596	0.5947319557
620	0.6693008638	0.5946800587
621	0.6693666339	0.5946028598
622	0.6693893402	0.5945789108
623	0.6694018679	0.5945564265
624	0.6694190934	0.5945338822
625	0.6694637231	0.594516381
626	0.6695169656	0.5944559412
627	0.6695177485	0.5944377085
628	0.6695467187	0.5944087205
629	0.6695615953	0.5943719882
630	0.6695913484	0.5943519905
631	0.6696430249	0.5942918895
632	0.6696939185	0.594248728
633	0.6696907865	0.5942356811
634	0.669745595	0.5941970798
635	0.6697612545	0.5941825278
636	0.6697722162	0.5941670298
637	0.6698051013	0.5941382506
638	0.6698105821	0.5941084426
639	0.6698646075	0.5940606722
640	0.6698982756	0.5940494803
641	0.6699006245	0.5940145189
642	0.6700611349	0.5939723794
643	0.6700979348	0.5939483391
644	0.6702427856	0.5938459346
645	0.6702881983	0.5938036866
646	0.670299943	0.5937764862
647	0.6703304791	0.5937585229
648	0.6703547514	0.5937206663
649	0.6703375259	0.5936997744
650	0.6703868535	0.5936822327
651	0.6704604534	0.593629907
652	0.670440096	0.593608892
653	0.6705136958	0.5935541546
654	0.6705583256	0.5935087154
655	0.6705606745	0.5934742862
656	0.6705810319	0.5934572799
657	0.6706162659	0.5934127966
658	0.6706702913	0.5933324068
659	0.6707070913	0.5933179891
660	0.6707532869	0.5932335462
661	0.6707603337	0.5932063826
662	0.6708441123	0.5931464224
663	0.6709122314	0.5931064371
664	0.6709654738	0.593081126
665	0.6710844864	0.5929560484
666	0.6711001459	0.5929382711
667	0.6711150225	0.5928852675
668	0.6711651331	0.5928427008
669	0.6712348181	0.5928069458
670	0.6712168096	0.5927689701
671	0.6712833627	0.5927354629
672	0.671306852	0.592720322
673	0.671342869	0.5926895889
674	0.6713240775	0.5926748747
675	0.6713460009	0.5926203882
676	0.6713820178	0.5925750068
677	0.6714196007	0.592554294
678	0.6714376092	0.5925335482
679	0.6714501369	0.5924913267
680	0.67147989	0.592464935
681	0.671479107	0.592434307
682	0.6714822389	0.5924133742
683	0.6715386133	0.5923776402
684	0.6715370474	0.592358492
685	0.6716294387	0.5922650157
686	0.6716443153	0.5922439569
687	0.6716725025	0.5921918432
688	0.6716983407	0.5921575739
689	0.6717437534	0.5921300898
690	0.6717515832	0.5921145756
691	0.6718056086	0.5920704103
692	0.6718181363	0.5920477497
693	0.6718181363	0.5920321701
694	0.6718392767	0.5920007844
695	0.6718337958	0.5919736532
696	0.6718424086	0.591956759
697	0.6718807745	0.5919260717
698	0.671895651	0.5919051523
699	0.6719144425	0.5918780498
700	0.6719434127	0.5918455388
701	0.6719434127	0.5918279578
702	0.6719457616	0.59180129
703	0.6720076168	0.5917754038
704	0.6721078379	0.5916856906
705	0.6721070549	0.5916695651
706	0.6721031401	0.5916529596
707	0.672140723	0.5916370276
708	0.6721602974	0.5916208784
709	0.6721681272	0.5915691607
710	0.672175957	0.5915526271
711	0.672173608	0.5915319336
712	0.6721994463	0.5914795326
713	0.6722213696	0.5914398551
714	0.6722229356	0.5914204639
715	0.6722714802	0.5913879942
716	0.6723051482	0.5913729243
717	0.672348995	0.5913580074
718	0.6723654375	0.591326873
719	0.6723787481	0.5913116224
720	0.6723897098	0.5912896915
721	0.6723983225	0.5912680298
722	0.6724648756	0.5912171714
723	0.6725071564	0.5911949911
724	0.6725463053	0.5911549359
725	0.6725643138	0.5911425975
726	0.6726778455	0.5911193062
727	0.6726927221	0.5910891164
728	0.6727060327	0.5910632459
729	0.6726982029	0.5910479326
730	0.6727428326	0.5910221771
731	0.6727757177	0.5910059297
732	0.6727765007	0.590983512
733	0.6727945091	0.5909683152
734	0.6728955132	0.5909126036
735	0.6728978622	0.5908965372
736	0.6728939473	0.5908807521
737	0.672973811	0.5908437637
738	0.672973811	0.5908189047
739	0.6730223556	0.5907945952
740	0.6731155299	0.5907157717
741	0.6731875638	0.5906779011
742	0.6732008744	0.5906622991
743	0.6732384573	0.5906331008
744	0.6732345425	0.5906020111
745	0.6732447212	0.5905842035
746	0.6733410274	0.5905537957
747	0.6733746954	0.5905016833
748	0.6734647378	0.5904237498
749	0.6735602611	0.5903812145
750	0.6736072397	0.5903509278
751	0.6736213333	0.5903377995
752	0.6736369929	0.5902935914
753	0.673667529	0.5902632483
754	0.6736964992	0.5902297454
755	0.6736636141	0.5901933228
756	0.6736534354	0.5901688234
757	0.673665963	0.5901294675
758	0.6736957162	0.5901129867
759	0.6737661841	0.5900622751
760	0.6737591373	0.5900356943
761	0.6738084649	0.5900184384
762	0.6738202096	0.5900001346
763	0.6738350862	0.5899733002
764	0.673839784	0.5899269428
765	0.6737951543	0.5899057392
766	0.6739118179	0.5898364265
767	0.6739564477	0.5898248401
768	0.6739611455	0.5898006469
769	0.6740253497	0.5897727874
770	0.6740269156	0.5897612445
771	0.6740652815	0.5897469044
772	0.6741075623	0.5897256187
773	0.6741200899	0.5897080168
774	0.6741427963	0.5896961309
775	0.6741584558	0.5896769393
776	0.6742124813	0.5896429004
777	0.674326013	0.5895354085
778	0.6742782514	0.589485059
779	0.6743134854	0.5894647549
780	0.6743463704	0.5894254173
781	0.6744050937	0.5893887806
782	0.6744450256	0.5893773306
783	0.6744160554	0.5893192282
784	0.6745029659	0.5892709296
785	0.6745522935	0.5892371465
786	0.6745616892	0.5892021423
787	0.6746313742	0.5891627402
788	0.6746532976	0.5891490831
789	0.6747237656	0.5890563052
790	0.6747229826	0.5890385999
791	0.6747409911	0.5890019694
792	0.6748576547	0.5889205539
793	0.6748349484	0.5889045476
794	0.6748670504	0.5888783137
795	0.6748654845	0.5888592348
796	0.674917161	0.5888165096
797	0.674883493	0.5887645473
798	0.6749101142	0.588753067
799	0.6749688375	0.5887230641
800	0.67502208	0.5886840311
801	0.6750009396	0.58865934
802	0.6751363947	0.5886245689
803	0.6751544032	0.588606821
804	0.6752366158	0.5885855121
805	0.6752444456	0.5885592636
806	0.6752843774	0.5885434344
807	0.6753063008	0.5885307405
808	0.6753877304	0.5884525848
809	0.6753822496	0.5884315176
810	0.6754401899	0.58840554
811	0.6754401899	0.5883948872
812	0.6755302323	0.588329377
